,0,1,2,3,4
2012-10-05,5388 中磊 (通信網路業),8406 金可-KY (化學生技醫療),1707 葡萄王 (生技醫療業),2317 鴻海 (其他電子業),3373 熱映 (其他電子業)
2012-10-08,2915 潤泰全 (貿易百貨),4119 旭富 (生技醫療業),4130 健亞 (生技醫療業),8406 金可-KY (化學生技醫療),1762 中化生 (生技醫療業)
2012-10-09,2538 基泰 (建材營造),4119 旭富 (生技醫療業),8406 金可-KY (化學生技醫療),1476 儒鴻 (紡織纖維),3373 熱映 (其他電子業)
2012-10-11,1477 聚陽 (紡織纖維),4904 遠傳 (通信網路業),2114 鑫永銓 (橡膠工業),3149 正達 (光電業),1737 臺鹽 (食品工業)
2012-10-12,1477 聚陽 (紡織纖維),3149 正達 (光電業),9905 大華 (其他),1712 興農 (化學工業),1737 臺鹽 (食品工業)
2012-10-15,4933 友輝 (光電業),6176 瑞儀 (光電業),3481 群創 (光電業),5356 協益 (電腦及週邊設備業),4960 誠美材 (光電業)
2012-10-16,4933 友輝 (光電業),2409 友達 (光電業),6176 瑞儀 (光電業),3481 群創 (光電業),2489 瑞軒 (光電業)
2012-10-17,3481 群創 (光電業),4933 友輝 (光電業),6143 振曜 (通信網路業),5203 訊連 (資訊服務業),6176 瑞儀 (光電業)
2012-10-18,6143 振曜 (通信網路業),3481 群創 (光電業),4933 友輝 (光電業),2489 瑞軒 (光電業),5203 訊連 (資訊服務業)
2012-10-19,3481 群創 (光電業),6143 振曜 (通信網路業),2489 瑞軒 (光電業),5706 鳳凰 (觀光餐旅),2409 友達 (光電業)
2012-10-22,3481 群創 (光電業),2489 瑞軒 (光電業),4119 旭富 (生技醫療業),6143 振曜 (通信網路業),5706 鳳凰 (觀光餐旅)
2012-10-23,2489 瑞軒 (光電業),2409 友達 (光電業),3481 群創 (光電業),3022 威強電 (電腦及週邊設備業),4119 旭富 (生技醫療業)
2012-10-24,2489 瑞軒 (光電業),3022 威強電 (電腦及週邊設備業),2385 群光 (電子零組件業),4933 友輝 (光電業),5871 中租-KY (其他)
2012-10-25,2890 永豐金 (金融保險業),4933 友輝 (光電業),2882 國泰金 (金融保險業),4960 誠美材 (光電業),2884 玉山金 (金融保險業)
2012-10-26,2884 玉山金 (金融保險業),2801 彰銀 (金融保險業),2809 京城銀 (其他證券),,
2012-10-29,3045 台灣大 (通信網路業),2317 鴻海 (其他電子業),2905 三商 (貿易百貨),3694 海華 (通信網路業),
2012-10-30,2317 鴻海 (其他電子業),3045 台灣大 (通信網路業),2618 長榮航 (航運業),2905 三商 (貿易百貨),2609 陽明 (航運業)
2012-10-31,3481 群創 (光電業),2886 兆豐金 (金融保險業),2723 美食-KY (觀光餐旅),3045 台灣大 (通信網路業),4933 友輝 (光電業)
2012-11-01,3481 群創 (光電業),4933 友輝 (光電業),1477 聚陽 (紡織纖維),3673 TPK-KY (光電業),3689 湧德 (電子零組件業)
2012-11-02,2409 友達 (光電業),3481 群創 (光電業),4933 友輝 (光電業),5871 中租-KY (其他),2489 瑞軒 (光電業)
2012-11-05,2409 友達 (光電業),1201 味全 (食品工業),4933 友輝 (光電業),5871 中租-KY (其他),2545 皇翔 (建材營造)
2012-11-06,3673 TPK-KY (光電業),2409 友達 (光電業),1201 味全 (食品工業),3149 正達 (光電業),5871 中租-KY (其他)
2012-11-07,3673 TPK-KY (光電業),2409 友達 (光電業),5871 中租-KY (其他),4904 遠傳 (通信網路業),4119 旭富 (生技醫療業)
2012-11-08,4119 旭富 (生技醫療業),3673 TPK-KY (光電業),5871 中租-KY (其他),1762 中化生 (生技醫療業),
2012-11-09,3673 TPK-KY (光電業),6271 同欣電 (半導體業),2357 華碩 (電腦及週邊設備業),2308 台達電 (電子零組件業),2360 致茂 (其他電子業)
2012-11-12,5871 中租-KY (其他),8213 志超 (電子零組件業),2328 廣宇 (電子零組件業),2409 友達 (光電業),6153 嘉聯益 (電子零組件業)
2012-11-13,8213 志超 (電子零組件業),5871 中租-KY (其他),2328 廣宇 (電子零組件業),2409 友達 (光電業),2355 敬鵬 (電子零組件業)
2012-11-14,3265 台星科 (半導體業),4904 遠傳 (通信網路業),3189 景碩 (半導體業),3673 TPK-KY (光電業),3034 聯詠 (半導體業)
2012-11-15,4904 遠傳 (通信網路業),3045 台灣大 (通信網路業),6245 立端 (通信網路業),2357 華碩 (電腦及週邊設備業),
2012-11-16,3045 台灣大 (通信網路業),4904 遠傳 (通信網路業),6245 立端 (通信網路業),3481 群創 (光電業),5489 彩富 (其他電子業)
2012-11-19,3045 台灣大 (通信網路業),6505 台塑化 (油電燃氣業),5489 彩富 (其他電子業),6245 立端 (通信網路業),2450 神腦 (通信網路業)
2012-11-20,2886 兆豐金 (金融保險業),1905 華紙 (造紙工業),2890 永豐金 (金融保險業),,
2012-11-21,2886 兆豐金 (金融保險業),1905 華紙 (造紙工業),6153 嘉聯益 (電子零組件業),2891 中信金 (金融保險業),8213 志超 (電子零組件業)
2012-11-22,2330 台積電 (半導體業),1905 華紙 (造紙工業),2891 中信金 (金融保險業),2886 兆豐金 (金融保險業),8081 致新 (半導體業)
2012-11-23,3545 敦泰 (半導體業),2409 友達 (光電業),1905 華紙 (造紙工業),2458 義隆 (半導體業),2891 中信金 (金融保險業)
2012-11-26,4958 臻鼎-KY (電子零組件業),3105 穩懋 (半導體業),2458 義隆 (半導體業),2885 元大金 (金融保險業),2884 玉山金 (金融保險業)
2012-11-27,3105 穩懋 (半導體業),4958 臻鼎-KY (電子零組件業),2885 元大金 (金融保險業),6153 嘉聯益 (電子零組件業),3545 敦泰 (半導體業)
2012-11-28,6153 嘉聯益 (電子零組件業),2885 元大金 (金融保險業),2886 兆豐金 (金融保險業),3227 原相 (半導體業),3545 敦泰 (半導體業)
2012-11-29,1303 南亞 (塑膠工業),2885 元大金 (金融保險業),6153 嘉聯益 (電子零組件業),2881 富邦金 (金融保險業),2884 玉山金 (金融保險業)
2012-11-30,3022 威強電 (電腦及週邊設備業),3406 玉晶光 (光電業),5371 中光電 (光電業),3227 原相 (半導體業),2393 億光 (光電業)
2012-12-03,2347 聯強 (電子通路業),2881 富邦金 (金融保險業),3189 景碩 (半導體業),3673 TPK-KY (光電業),2454 聯發科 (半導體業)
2012-12-04,2409 友達 (光電業),3673 TPK-KY (光電業),2347 聯強 (電子通路業),2514 龍邦 (其他),2325 矽品 (電子工業)
2012-12-05,2458 義隆 (半導體業),2449 京元電子 (半導體業),2347 聯強 (電子通路業),2514 龍邦 (其他),2303 聯電 (半導體業)
2012-12-06,2449 京元電子 (半導體業),2303 聯電 (半導體業),5871 中租-KY (其他),6147 頎邦 (半導體業),5234 達興材料 (光電業)
2012-12-07,1101 台泥 (水泥工業),3673 TPK-KY (光電業),8938 明安 (運動休閒),1752 南光 (生技醫療業),
2012-12-10,3481 群創 (光電業),4933 友輝 (光電業),1102 亞泥 (水泥工業),6143 振曜 (通信網路業),2392 正崴 (電子零組件業)
2012-12-11,2449 京元電子 (半導體業),2303 聯電 (半導體業),5871 中租-KY (其他),6257 矽格 (半導體業),6147 頎邦 (半導體業)
2012-12-12,2890 永豐金 (金融保險業),2548 華固 (建材營造),2883 凱基金 (金融保險業),2881 富邦金 (金融保險業),1104 環泥 (水泥工業)
2012-12-13,2409 友達 (光電業),2357 華碩 (電腦及週邊設備業),2883 凱基金 (金融保險業),1789 神隆 (生技醫療業),2890 永豐金 (金融保險業)
2012-12-14,2409 友達 (光電業),2890 永豐金 (金融保險業),2884 玉山金 (金融保險業),2888 新光金 (金融保險業),1102 亞泥 (水泥工業)
2012-12-17,2547 日勝生 (建材營造),2520 冠德 (建材營造),9945 潤泰新 (其他),9933 中鼎 (其他),2031 新光鋼 (鋼鐵工業)
2012-12-18,8081 致新 (半導體業),5347 世界 (半導體業),1789 神隆 (生技醫療業),6257 矽格 (半導體業),1752 南光 (生技醫療業)
2012-12-19,3450 聯鈞 (半導體業),5347 世界 (半導體業),1789 神隆 (生技醫療業),1752 南光 (生技醫療業),6257 矽格 (半導體業)
2012-12-20,2409 友達 (光電業),2206 三陽工業 (汽車工業),1720 生達 (生技醫療業),,
2012-12-21,6271 同欣電 (半導體業),3491 昇達科 (通信網路業),1720 生達 (生技醫療業),3023 信邦 (電子零組件業),
2012-12-22,3491 昇達科 (通信網路業),3504 揚明光 (光電業),,,
2012-12-24,2514 龍邦 (其他),1789 神隆 (生技醫療業),4123 晟德 (生技醫療業),9914 美利達 (運動休閒),4119 旭富 (生技醫療業)
2012-12-25,1201 味全 (食品工業),2345 智邦 (通信網路業),3045 台灣大 (通信網路業),3607 谷崧 (電子零組件業),
2012-12-26,2547 日勝生 (建材營造),1789 神隆 (生技醫療業),1326 台化 (塑膠工業),1301 台塑 (塑膠工業),2014 中鴻 (鋼鐵工業)
2012-12-27,5347 世界 (半導體業),3265 台星科 (半導體業),5234 達興材料 (光電業),4979 華星光 (通信網路業),3149 正達 (光電業)
