,0,1,2,3,4
2012-10-03,2392 正崴 (平面顯示器),2439 美律 (能源元件),9911 櫻花 (其他),2317 鴻海 (通信網路),6245 立端 (通信網路)
2012-10-04,1582 信錦 (電腦及週邊設備),5392 能率 (電腦及週邊設備),4979 華星光 (通信網路),2317 鴻海 (通信網路),4904 遠傳 (大數據)
2012-10-05,5388 中磊 (通信網路),8406 金可-KY (醫療器材),6163 華電網 (人工智慧),1707 葡萄王 (食品生技),1733 五鼎 (醫療器材)
2012-10-08,2915 潤泰全 (貿易百貨),4119 旭富 (製藥),1101 台泥 (水泥),8406 金可-KY (醫療器材),4130 健亞 (製藥)
2012-10-09,1477 聚陽 (紡織),2538 基泰 (建材營造),4119 旭富 (製藥),1101 台泥 (水泥),1476 儒鴻 (紡織)
2012-10-11,1477 聚陽 (紡織),4904 遠傳 (大數據),2538 基泰 (建材營造),1476 儒鴻 (紡織),2104 國際中橡 (石化及塑橡膠)
2012-10-12,9904 寶成 (其他),1477 聚陽 (紡織),3149 正達 (建材營造),2520 冠德 (建材營造),9905 大華 (其他)
2012-10-15,4933 友輝 (平面顯示器),6176 瑞儀 (平面顯示器),2227 裕日車 (汽車),3481 群創 (平面顯示器),1102 亞泥 (水泥)
2012-10-16,4933 友輝 (平面顯示器),2409 友達 (太陽能產業),9904 寶成 (其他),6176 瑞儀 (平面顯示器),3481 群創 (平面顯示器)
2012-10-17,3481 群創 (平面顯示器),4933 友輝 (平面顯示器),6143 振曜 (平面顯示器),5203 訊連 (人工智慧),6176 瑞儀 (平面顯示器)
2012-10-18,6143 振曜 (平面顯示器),3481 群創 (平面顯示器),4933 友輝 (平面顯示器),2489 瑞軒 (平面顯示器),1101 台泥 (水泥)
2012-10-19,1101 台泥 (水泥),3481 群創 (平面顯示器),6143 振曜 (平面顯示器),5706 鳳凰 (休閒娛樂),2489 瑞軒 (平面顯示器)
2012-10-22,3481 群創 (平面顯示器),1101 台泥 (水泥),2489 瑞軒 (平面顯示器),4119 旭富 (製藥),6143 振曜 (平面顯示器)
2012-10-23,2489 瑞軒 (平面顯示器),4915 致伸 (電腦及週邊設備),2409 友達 (太陽能產業),3022 威強電 (電腦及週邊設備),3481 群創 (平面顯示器)
2012-10-24,2489 瑞軒 (平面顯示器),3022 威強電 (電腦及週邊設備),1101 台泥 (水泥),4915 致伸 (電腦及週邊設備),2474 可成 (電腦及週邊設備)
2012-10-25,2890 永豐金 (金融),1101 台泥 (水泥),1102 亞泥 (水泥),4933 友輝 (平面顯示器),2006 東和鋼鐵 (鋼鐵)
2012-10-26,1102 亞泥 (水泥),2049 上銀 (自動化),2002 中鋼 (鋼鐵),2006 東和鋼鐵 (鋼鐵),2884 玉山金 (金融)
2012-10-29,2317 鴻海 (通信網路),3045 台灣大 (通信網路),2002 中鋼 (鋼鐵),1102 亞泥 (水泥),2908 特力 (貿易百貨)
2012-10-30,2317 鴻海 (通信網路),1101 台泥 (水泥),3045 台灣大 (通信網路),1102 亞泥 (水泥),2618 長榮航 (交通運輸及航運)
2012-10-31,1216 統一 (食品),1101 台泥 (水泥),3481 群創 (平面顯示器),1102 亞泥 (水泥),2886 兆豐金 (金融)
2012-11-01,1476 儒鴻 (紡織),3481 群創 (平面顯示器),4933 友輝 (平面顯示器),1101 台泥 (水泥),1102 亞泥 (水泥)
